yardline_100
half_seconds_remaining
down
goal_to_go
ydstogo
no_huddle
qb_dropback
qb_kneel
qb_spike
qb_scramble
air_yards
two_point_attempt
play_clock
total_line
team_total
off_epa_pp
def_epa_pp
endzone_target
