play_id
game_id
season_type
week
posteam
posteam_type
defteam
yardline_100
half_seconds_remaining
down
goal_to_go
ydstogo
yards_gained
shotgun
no_huddle
qb_dropback
qb_kneel
qb_spike
qb_scramble
pass_location
air_yards
run_location
run_gap
two_point_conv_result
td_team
td_player_name
td_player_id
ep
epa
wp
vegas_wp
interception
fumble_lost
touchdown
pass_touchdown
rush_touchdown
two_point_attempt
fumble
complete_pass
passer_player_id
passer_player_name
passing_yards
receiver_player_id
receiver_player_name
receiving_yards
rusher_player_id
rusher_player_name
rushing_yards
play_type
season
play_clock
spread_line
total_line
roof
surface
temp
wind
success
fantasy_id
desc
